"Configure the EffectConnect Marketplaces API settings to connect the plugin to EffectConnect Marketplaces.","Configure the EffectConnect Marketplaces API settings to connect the plugin to EffectConnect Marketplaces.","module","EffectConnect_Marketplaces"
"Public key","Public key","module","EffectConnect_Marketplaces"
"Find your public key in the API Key Management section in EffectConnect Marketplaces.","Find your public key in the API Key Management section in EffectConnect Marketplaces.","module","EffectConnect_Marketplaces"
"Secret key","Secret key","module","EffectConnect_Marketplaces"
"Find your secret key in the API Key Management section in EffectConnect Marketplaces.","Find your secret key in the API Key Management section in EffectConnect Marketplaces.","module","EffectConnect_Marketplaces"
"%1 is not defined in EffectConnect\Marketplaces\Interfaces\SettingPathsInterface","%1 is not defined in EffectConnect\Marketplaces\Interfaces\SettingPathsInterface","module","EffectConnect_Marketplaces"
"Failed retrieving plugin version.","Failed retrieving plugin version.","module","EffectConnect_Marketplaces"
"General","General","module","EffectConnect_Marketplaces"
"For more information about EffectConnect Marketplaces go to the EffectConnect website (www.effectconnect.com).","For more information about EffectConnect Marketplaces go to the EffectConnect website (www.effectconnect.com).","module","EffectConnect_Marketplaces"
"Catalog Export","Catalog Export","module","EffectConnect_Marketplaces"
"All settings related to the catalog export from the current Magento 2 installation to a EffectConnect Marketplaces connection.","All settings related to the catalog export from the current Magento 2 installation to a EffectConnect Marketplaces connection.","module","EffectConnect_Marketplaces"
"Brand attribute","Brand attribute","module","EffectConnect_Marketplaces"
"Select the attribute that is used for obtaining the product's brand when exporting the catalog to EffectConnect Marketplaces.","Select the attribute that is used for obtaining the product's brand when exporting the catalog to EffectConnect Marketplaces.","module","EffectConnect_Marketplaces"
"Title attribute","Title attribute","module","EffectConnect_Marketplaces"
"Select the attribute that is used for obtaining the product's title when exporting the catalog to EffectConnect Marketplaces.","Select the attribute that is used for obtaining the product's title when exporting the catalog to EffectConnect Marketplaces.","module","EffectConnect_Marketplaces"
"Description attribute","Description attribute","module","EffectConnect_Marketplaces"
"Select the attribute that is used for obtaining the product's description when exporting the catalog to EffectConnect Marketplaces.","Select the attribute that is used for obtaining the product's description when exporting the catalog to EffectConnect Marketplaces.","module","EffectConnect_Marketplaces"
"EAN attribute","EAN attribute","module","EffectConnect_Marketplaces"
"Select the attribute that is used for obtaining the product's EAN (European Article Number) when exporting the catalog to EffectConnect Marketplaces.","Select the attribute that is used for obtaining the product's EAN (European Article Number) when exporting the catalog to EffectConnect Marketplaces.","module","EffectConnect_Marketplaces"
"Cost attribute","Cost attribute","module","EffectConnect_Marketplaces"
"Select the attribute that is used for obtaining the product's cost price when exporting the catalog to EffectConnect Marketplaces.","Select the attribute that is used for obtaining the product's cost price when exporting the catalog to EffectConnect Marketplaces.","module","EffectConnect_Marketplaces"
"Delivery time attribute","Delivery time attribute","module","EffectConnect_Marketplaces"
"Select the attribute that is used for obtaining the product's delivery time when exporting the catalog to EffectConnect Marketplaces.","Select the attribute that is used for obtaining the product's delivery time when exporting the catalog to EffectConnect Marketplaces.","module","EffectConnect_Marketplaces"
"Price attribute","Price attribute","module","EffectConnect_Marketplaces"
"Select the attribute that is used for obtaining the product's price when exporting the catalog to EffectConnect Marketplaces.","Select the attribute that is used for obtaining the product's price when exporting the catalog to EffectConnect Marketplaces.","module","EffectConnect_Marketplaces"
"Price fallback attribute","Price fallback attribute","module","EffectConnect_Marketplaces"
"Determines when choosing the non-default price attribute in the setting above, the default Magento 2 price attribute should be used when the custom attribute is empty.","Determines when choosing the non-default price attribute in the setting above, the default Magento 2 price attribute should be used when the custom attribute is empty.","module","EffectConnect_Marketplaces"
"Use special price","Use special price","module","EffectConnect_Marketplaces"
"Select whether the default Magento 2 special price attribute should be used when exporting the catalog to EffectConnect Marketplaces. The original price will just as well be exported, but in that case as original price attribute.","Select whether the default Magento 2 special price attribute should be used when exporting the catalog to EffectConnect Marketplaces. The original price will just as well be exported, but in that case as original price attribute.","module","EffectConnect_Marketplaces"
"Delivery time","Delivery time","module","EffectConnect_Marketplaces"
"1 day","1 day","module","EffectConnect_Marketplaces"
"1-2 days","1-2 days","module","EffectConnect_Marketplaces"
"3 days","3 days","module","EffectConnect_Marketplaces"
"5 days","5 days","module","EffectConnect_Marketplaces"
"The delivery time of a product.","The delivery time of a product.","module","EffectConnect_Marketplaces"
"Product with ID %1 does not have a valid EAN and will therefor not be included in the catalog export.","Product with ID %1 does not have a valid EAN and will therefor not be included in the catalog export.","module","EffectConnect_Marketplaces"
"Advanced","Advanced","module","EffectConnect_Marketplaces"
"All advanced settings for the EffectConnect Marketplaces plugin. Be careful when adjusting these settings.","All advanced settings for the EffectConnect Marketplaces plugin. Be careful when adjusting these settings.","module","EffectConnect_Marketplaces"
"API call time-out","API call time-out","module","EffectConnect_Marketplaces"
